course_id,source_type,institution_id,No,hyperlink,duration,single,monthly_allowance,practical_allowance,free_hostel,free_meals,tuition_fee,registration_fee
POLY-DIP-001,poly,,,,,,,,,,,
POLY-DIP-002,poly,,,,,,,,,,,
POLY-DIP-003,poly,,,,,,,,,,,
POLY-DIP-004,poly,,,,,,,,,,,
POLY-DIP-005,poly,,,,,,,,,,,
POLY-DIP-006,poly,,,,,,,,,,,
POLY-DIP-007,poly,,,,,,,,,,,
POLY-DIP-008,poly,,,,,,,,,,,
POLY-DIP-009,poly,,,,,,,,,,,
POLY-DIP-010,poly,,,,,,,,,,,
POLY-DIP-011,poly,,,,,,,,,,,
POLY-DIP-012,poly,,,,,,,,,,,
POLY-DIP-013,poly,,,,,,,,,,,
POLY-DIP-014,poly,,,,,,,,,,,
POLY-DIP-015,poly,,,,,,,,,,,
POLY-DIP-016,poly,,,,,,,,,,,
POLY-DIP-017,poly,,,,,,,,,,,
POLY-DIP-018,poly,,,,,,,,,,,
POLY-DIP-019,poly,,,,,,,,,,,
POLY-DIP-020,poly,,,,,,,,,,,
POLY-DIP-021,poly,,,,,,,,,,,
POLY-DIP-022,poly,,,,,,,,,,,
POLY-DIP-023,poly,,,,,,,,,,,
POLY-DIP-024,poly,,,,,,,,,,,
POLY-DIP-025,poly,,,,,,,,,,,
POLY-DIP-026,poly,,,,,,,,,,,
POLY-DIP-027,poly,,,,,,,,,,,
POLY-DIP-028,poly,,,,,,,,,,,
POLY-DIP-029,poly,,,,,,,,,,,
POLY-DIP-030,poly,,,,,,,,,,,
POLY-DIP-031,poly,,,,,,,,,,,
POLY-DIP-032,poly,,,,,,,,,,,
POLY-DIP-033,poly,,,,,,,,,,,
POLY-DIP-034,poly,,,,,,,,,,,
POLY-DIP-035,poly,,,,,,,,,,,
POLY-DIP-036,poly,,,,,,,,,,,
POLY-DIP-037,poly,,,,,,,,,,,
POLY-DIP-038,poly,,,,,,,,,,,
POLY-DIP-039,poly,,,,,,,,,,,
POLY-DIP-040,poly,,,,,,,,,,,
POLY-DIP-041,poly,,,,,,,,,,,
POLY-DIP-042,poly,,,,,,,,,,,
POLY-DIP-043,poly,,,,,,,,,,,
POLY-DIP-044,poly,,,,,,,,,,,
POLY-DIP-045,poly,,,,,,,,,,,
POLY-DIP-046,poly,,,,,,,,,,,
POLY-DIP-047,poly,,,,,,,,,,,
POLY-DIP-048,poly,,,,,,,,,,,
POLY-DIP-049,poly,,,,,,,,,,,
POLY-DIP-050,poly,,,,,,,,,,,
POLY-DIP-051,poly,,,,,,,,,,,
POLY-DIP-052,poly,,,,,,,,,,,
POLY-DIP-053,poly,,,,,,,,,,,
POLY-DIP-054,poly,,,,,,,,,,,
POLY-DIP-055,poly,,,,,,,,,,,
POLY-DIP-056,poly,,,,,,,,,,,
POLY-DIP-057,poly,,,,,,,,,,,
POLY-DIP-058,poly,,,,,,,,,,,
POLY-DIP-059,poly,,,,,,,,,,,
POLY-DIP-060,poly,,,,,,,,,,,
POLY-DIP-061,poly,,,,,,,,,,,
POLY-DIP-062,poly,,,,,,,,,,,
POLY-DIP-063,poly,,,,,,,,,,,
POLY-DIP-064,poly,,,,,,,,,,,
POLY-DIP-065,poly,,,,,,,,,,,
POLY-DIP-066,poly,,,,,,,,,,,
POLY-DIP-067,poly,,,,,,,,,,,
POLY-DIP-068,poly,,,,,,,,,,,
POLY-DIP-069,poly,,,,,,,,,,,
POLY-DIP-070,poly,,,,,,,,,,,
POLY-DIP-071,poly,,,,,,,,,,,
POLY-DIP-072,poly,,,,,,,,,,,
POLY-DIP-073,poly,,,,,,,,,,,
POLY-DIP-074,poly,,,,,,,,,,,
POLY-DIP-075,poly,,,,,,,,,,,
POLY-DIP-076,poly,,,,,,,,,,,
POLY-DIP-077,poly,,,,,,,,,,,
POLY-DIP-078,poly,,,,,,,,,,,
POLY-DIP-079,poly,,,,,,,,,,,
POLY-DIP-080,poly,,,,,,,,,,,
POLY-DIP-081,poly,,,,,,,,,,,
POLY-DIP-082,poly,,,,,,,,,,,
POLY-CET-001,poly,,,,,,,,,,,
POLY-CET-002,poly,,,,,,,,,,,
POLY-CET-003,poly,,,,,,,,,,,
KKOM-DIP-001,poly,,,,,,,,,,,
KKOM-DIP-002,poly,,,,,,,,,,,
KKOM-DIP-003,poly,,,,,,,,,,,
KKOM-DIP-004,poly,,,,,,,,,,,
KKOM-DIP-005,poly,,,,,,,,,,,
KKOM-DIP-006,poly,,,,,,,,,,,
KKOM-DIP-007,poly,,,,,,,,,,,
KKOM-DIP-008,poly,,,,,,,,,,,
KKOM-DIP-009,poly,,,,,,,,,,,
KKOM-DIP-010,poly,,,,,,,,,,,
KKOM-DIP-011,poly,,,,,,,,,,,
KKOM-DIP-012,poly,,,,,,,,,,,
KKOM-DIP-013,poly,,,,,,,,,,,
KKOM-DIP-014,poly,,,,,,,,,,,
KKOM-DIP-015,poly,,,,,,,,,,,
KKOM-DIP-016,poly,,,,,,,,,,,
KKOM-CET-001,poly,,,,,,,,,,,
KKOM-CET-002,poly,,,,,,,,,,,
KKOM-CET-003,poly,,,,,,,,,,,
KKOM-CET-004,poly,,,,,,,,,,,
KKOM-CET-005,poly,,,,,,,,,,,
KKOM-CET-006,poly,,,,,,,,,,,
KKOM-CET-007,poly,,,,,,,,,,,
KKOM-CET-008,poly,,,,,,,,,,,
KKOM-CET-009,poly,,,,,,,,,,,
KKOM-CET-010,poly,,,,,,,,,,,
KKOM-CET-011,poly,,,,,,,,,,,
KKOM-CET-012,poly,,,,,,,,,,,
KKOM-CET-013,poly,,,,,,,,,,,
KKOM-CET-014,poly,,,,,,,,,,,
KKOM-CET-015,poly,,,,,,,,,,,
KKOM-CET-016,poly,,,,,,,,,,,
KKOM-CET-017,poly,,,,,,,,,,,
KKOM-CET-018,poly,,,,,,,,,,,
KKOM-CET-019,poly,,,,,,,,,,,
KKOM-CET-020,poly,,,,,,,,,,,
KKOM-CET-021,poly,,,,,,,,,,,
KKOM-CET-022,poly,,,,,,,,,,,
KKOM-CET-023,poly,,,,,,,,,,,
KKOM-CET-024,poly,,,,,,,,,,,
KKOM-CET-025,poly,,,,,,,,,,,
KKOM-CET-026,poly,,,,,,,,,,,
KKOM-CET-027,poly,,,,,,,,,,,
KKOM-CET-028,poly,,,,,,,,,,,
KKOM-CET-029,poly,,,,,,,,,,,
KKOM-CET-030,poly,,,,,,,,,,,
KKOM-CET-031,poly,,,,,,,,,,,
KKOM-CET-032,poly,,,,,,,,,,,
KKOM-CET-033,poly,,,,,,,,,,,
KKOM-CET-034,poly,,,,,,,,,,,
KKOM-CET-035,poly,,,,,,,,,,,
KKOM-CET-036,poly,,,,,,,,,,,
KKOM-CET-037,poly,,,,,,,,,,,
KKOM-CET-038,poly,,,,,,,,,,,
IKBN-DIP-001,tvet,IKBN-004,1.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35198,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-001,tvet,IKBN-005,2.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35199,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-001,tvet,IKBN-020,3.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35202,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-002,tvet,IKBN-012,4.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14258,36 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-003,tvet,IKBN-010,5.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35118,37 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-006,tvet,IKBN-001,6.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14603,34 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-DIP-007,tvet,IKBN-012,7.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=43815,34 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-001,tvet,IKBN-001,8.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14612,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-001,tvet,IKBN-003,9.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14375,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-001,tvet,IKBN-014,10.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14465,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-002,tvet,IKBN-003,11.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14399,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-002,tvet,IKBN-008,12.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14276,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-002,tvet,IKBN-014,13.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14477,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-003,tvet,IKBN-007,14.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14411,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-003,tvet,IKBN-014,15.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14483,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-004,tvet,IKBN-003,16.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=44202,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-005,tvet,IKBN-003,17.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=43845,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-005,tvet,IKBN-007,18.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45292,24 Bulan,1.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-005,tvet,IKBN-008,19.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45289,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-005,tvet,IKBN-014,20.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14456,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-005,tvet,IKBN-021,21.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14531,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-006,tvet,IKBN-003,22.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14363,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-006,tvet,IKBN-014,23.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14468,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-007,tvet,IKBN-016,24.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45298,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-008,tvet,IKBN-004,25.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33765,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-008,tvet,IKBN-020,26.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33768,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-009,tvet,IKBN-012,27.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30635,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-010,tvet,IKBN-004,28.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14489,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-010,tvet,IKBN-011,29.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14450,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-011,tvet,IKBN-013,30.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14240,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-012,tvet,IKBN-017,31.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14798,21 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-013,tvet,IKBN-010,32.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14639,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-014,tvet,IKBN-019,33.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14195,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-014,tvet,IKBN-021,34.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14561,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-015,tvet,IKBN-005,35.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14342,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-015,tvet,IKBN-008,36.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14306,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-016,tvet,IKBN-017,37.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14783,21 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-017,tvet,IKBN-010,38.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14660,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-018,tvet,IKBN-017,39.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=44208,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-019,tvet,IKBN-011,40.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14453,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-020,tvet,IKBN-014,41.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14471,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-021,tvet,IKBN-018,42.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14432,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-022,tvet,IKBN-016,43.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14759,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-023,tvet,IKBN-001,44.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14567,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-024,tvet,IKBN-004,45.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30661,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-025,tvet,IKBN-018,46.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14435,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-026,tvet,IKBN-004,47.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14504,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-026,tvet,IKBN-021,48.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14525,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-027,tvet,IKBN-018,49.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30656,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-028,tvet,IKBN-018,50.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30653,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-029,tvet,IKBN-015,51.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45421,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-032,tvet,IKBN-014,52.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30659,15 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-034,tvet,IKBN-011,53.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33783,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IKBN-CET-034,tvet,IKBN-013,54.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33777,24 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-DIP-010,tvet,IJTM-004,55.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=9581,36 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-017,tvet,IJTM-004,56.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35147,34 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-017,tvet,IJTM-027,57.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33902,34 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-019,tvet,IJTM-004,58.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36797,34 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-022,tvet,IJTM-027,59.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33893,34 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-024,tvet,IJTM-026,60.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10049,36 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-026,tvet,IJTM-026,61.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10007,36 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-032,tvet,IJTM-001,62.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=8718,36 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-033,tvet,IJTM-001,63.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=34568,34 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-034,tvet,IJTM-001,64.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7774,36 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-DIP-035,tvet,IJTM-001,65.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33983,34 Bulan,0.0,RM-,RM-,0.0,1.0,Pinjaman PTPK,Pinjaman PTPK
IJTM-CET-001,tvet,IJTM-029,66.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33929,16 Bulan,0.0,RM-,RM-,1.0,1.0,Percuma,Percuma
IJTM-CET-002,tvet,IJTM-029,67.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=40510,16 Bulan,0.0,RM-,RM-,1.0,1.0,Percuma,Percuma
IJTM-CET-003,tvet,IJTM-029,68.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=40507,16 Bulan,0.0,RM-,RM-,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-002,69.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=9290,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-008,70.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7768,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-013,71.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=8776,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-015,72.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36888,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-016,73.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45048,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-021,74.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7111,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
IJTM-CET-004,tvet,IJTM-028,75.0,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7231,27 Bulan,0.0,RM100,RM300,1.0,1.0,Percuma,Percuma
