course_id,course,min_credits,req_malaysian,pass_bm,pass_history,pass_eng,credit_bm,credit_history,credit_english,credit_math,credit_science,subject_group_req,remarks
50PD037L00P,Pendidikan Khas Masalah Penglihatan,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD037R00P,Reka Bentuk dan Teknologi Pendidikan,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""SCIENCE""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD031S00P,Sains Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 3, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BC"", ""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PHYSICS', 'CHEMISTRY', 'BIOLOGY']"", ""C in ['BC', 'BM', 'HISTORY', 'BI']""]"
50PD036S00P,Sejarah Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""HISTORY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BC"", ""BM"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['HISTORY']"", ""C in ['BC', 'BM', 'BI']""]"
50PD040M00P,Bahasa Melayu Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD040M9MP,Bahasa Melayu Pendidikan Rendah Elektif,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
50PD040T00P,Bahasa Tamil Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BT""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BT']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD047K00P,Bimbingan dan Kaunseling,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['BT', 'HISTORY', 'BI']""]"
50PD041M00P,Matematik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""MATH"", ""ADDMATH""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH', 'ADDMATH']"", ""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD040E00P,Pengajaran Bahasa Inggeris Sebagai Bahasa,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD046V00P,Pendidikan Seni Visual Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD046V8MP,Pendidikan Seni Visual Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PSV""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PSV']"", ""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD047M00P,Pendidikan Muzik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD047M8MP,Pendidikan Muzik Pendidikan Rendah Elektif,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD045A00P,Pendidikan Islam Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PAI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PAI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD046J00P,Pendidikan Jasmani Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD047P00P,Pendidikan Awal Kanak-Kanak,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['BT', 'HISTORY', 'BI']""]"
50PD047B00P,Pendidikan Khas Masalah Pembelajaran,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD047R00P,Reka Bentuk dan Teknologi Pendidikan,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""SCIENCE""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE']"", ""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD041S004,Sains Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD046S00P,Sejarah Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""HISTORY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""BT"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['HISTORY']"", ""C in ['BM', 'BT', 'BI']""]"
50PD060M00P,Bahasa Melayu Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD050M9MP,Bahasa Melayu Pendidikan Rendah Elektif,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}]",General: 5 Cemerlang. Specifics: []
50PD067K00P,Bimbingan dan Kaunseling,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
50PD061M00P,Matematik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""MATH"", ""ADDMATH""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH', 'ADDMATH']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD066V00P,Pendidikan Seni Visual Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PSV""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PSV']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD067M00P,Pendidikan Muzik Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""C in ['BM', 'HISTORY', 'BI']""]"
50PD065A00P,Pendidikan Islam Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""PAI""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PAI']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD066J00P,Pendidikan Jasmani Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 2, ""subjects"": [""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD067P00P,Pendidikan Awal Kanak-Kanak,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
50PD067B00P,Pendidikan Khas Masalah Pembelajaran,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD067D00P,Pendidikan Khas Masalah Pendengaran,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""MATH""]}, {""min_grade"": ""A"", ""min_count"": 4, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""SCIENCE"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['MATH']"", ""A in ['PHYSICS', 'CHEMISTRY', 'SCIENCE', 'BIOLOGY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD067R00P,Reka Bentuk dan Teknologi Pendidikan,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""SCIENCE""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['SCIENCE']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD061S00P,Sains Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 3, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PHYSICS', 'CHEMISTRY', 'BIOLOGY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD066S00P,Sejarah Pendidikan Rendah,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""HISTORY""]}, {""min_grade"": ""C"", ""min_count"": 3, ""subjects"": [""BM"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['HISTORY']"", ""C in ['BM', 'HISTORY', 'BI']""]"
50PD041S00P,SAINS PENDIDIKAN,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 3, ""subjects"": [""PHYSICS"", ""CHEMISTRY"", ""BIOLOGY""]}, {""min_grade"": ""C"", ""min_count"": 4, ""subjects"": [""BM"", ""BT"", ""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['PHYSICS', 'CHEMISTRY', 'BIOLOGY']"", ""C in ['BM', 'BT', 'HISTORY', 'BI']""]"
50PD060M9MP,BAHASA MELAYU,5,1,0,0,0,0,0,0,0,0,"[{""min_grade"": ""A-"", ""min_count"": 5, ""subjects"": []}, {""min_grade"": ""A"", ""min_count"": 1, ""subjects"": [""BM""]}, {""min_grade"": ""C"", ""min_count"": 2, ""subjects"": [""HISTORY"", ""BI""]}]","General: 5 Cemerlang. Specifics: [""A in ['BM']"", ""C in ['HISTORY', 'BI']""]"
